date,hive_weight,hive_temperature,hive_humidity,ambient_temperature,ambient_humidity,ambient_luminosity,ambient_rain,wx_temp,wx_humidity,wx_wind,wx_gusts,wx_direction,wx_dewpoint,wx_pressure,wx_rain,battery
2013-08-18 0:00:00,251.113,72.1,,,,,64,,,,,,,,,
2013-08-19 0:00:00,251.342,72.1,,,,,64.8,,,,,,,,,
2013-08-20 0:00:00,250.088,72.1,,,,,67.2,,,,,,,,,
2013-08-21 0:00:00,249.517,72.1,,,,,67,,,,,,,,,
2013-08-22 0:00:00,248.979,72.1,,,,,62.5,,,,,,,,,
2013-08-23 0:00:00,247.494,72.1,,,,,69.7,,,,,,,,,
2013-08-24 0:00:00,243.06,72.1,,,,,67.1,,,,,,,,,
2013-08-25 0:00:00,166.573,72.1,,,,,65.5,,,,,,,,,
2013-08-26 0:00:00,85.754,72.1,,,,,66.2,,,,,,,,,
2013-08-27 0:00:00,82.392,72.1,,,,,67.7,,,,,,,,,
2013-08-28 0:00:00,81.724,72.1,,,,,71,,,,,,,,,
2013-08-29 0:00:00,81.459,72.1,,,,,74.6,,,,,,,,,
2013-08-30 0:00:00,81.356,72.1,,,,,72.1,,,,,,,,,
2013-08-31 0:00:00,81.922,72.1,,,,,70.3,,,,,,,,,
2013-09-01 0:00:00,81.969,72.1,,,,,71,,,,,,,,,
2013-09-02 0:00:00,83.395,72.1,,,,,70.2,,,,,,,,,
2013-09-03 0:00:00,81.258,72.1,,,,,66.9,,,,,,,,,
2013-09-04 0:00:00,80.013,72.1,,,,,67.1,,,,,,,,,
2013-09-05 0:00:00,80.546,72.1,,,,,68.4,,,,,,,,,
2013-09-06 0:00:00,80.775,72.1,,,,,63.6,,,,,,,,,
2013-09-07 0:00:00,81.044,72.1,,,,,64.8,,,,,,,,,
2013-09-08 0:00:00,81.291,72.1,,,,,65.5,,,,,,,,,
2013-09-09 0:00:00,83.444,72.1,,,,,67.8,,,,,,,,,
2013-09-10 0:00:00,83.058,72.1,,,,,67.2,,,,,,,,,
2013-09-11 0:00:00,83.488,72.1,,,,,66.3,,,,,,,,,
2013-09-12 0:00:00,84.863,72.1,,,,,65.8,,,,,,,,,
2013-09-13 0:00:00,84.76,72.1,,,,,66,,,,,,,,,
2013-09-14 0:00:00,83.915,72.1,,,,,60,,,,,,,,,
2013-09-15 0:00:00,84.523,72.1,,,,,63.9,,,,,,,,,
2013-09-16 0:00:00,87.398,72.1,,,,,64.7,,,,,,,,,
2013-09-17 0:00:00,85.652,72.1,,,,,63.2,,,,,,,,,
2013-09-18 0:00:00,84.519,72.1,,,,,61.1,,,,,,,,,
2013-09-19 0:00:00,85.338,72.1,,,,,64.7,,,,,,,,,
