date,hive_weight,hive_temperature,hive_humidity,ambient_temperature,ambient_humidity,ambient_luminosity,ambient_rain,wx_temp,wx_humidity,wx_wind,wx_gusts,wx_direction,wx_dewpoint,wx_pressure,wx_rain,battery
2013-11-22 0:00:00,93.649,82.5,42.1,42.4,0,479,0,,,,,,,,,
2013-11-23 0:00:00,93.611,90.8,34.6,38,0,214,0,,,,,,,,,
2013-11-24 0:00:00,93.685,84.8,9,33.8,0,1196,0,,,,,,,,,
2013-11-25 0:00:00,93.747,81.2,14.4,33.4,0,343,0,,,,,,,,,
2013-11-26 0:00:00,94.395,75.5,44.2,35.2,0,68,0,,,,,,,,,
2013-11-27 0:00:00,94.509,78.1,20.3,32.7,0,269,0,,,,,,,,,
2013-11-28 0:00:00,94.285,76.6,13.4,33.8,0,1262,0,,,,,,,,,
2013-11-29 0:00:00,94.036,79.1,18.7,42,0,1248,0,,,,,,,,,
2013-11-30 0:00:00,93.747,74.9,22.7,41.4,0,1161,0,,,,,,,,,
2013-12-01 0:00:00,93.458,77.9,17.4,36.7,0,1234,0,,,,,,,,,
2013-12-02 0:00:00,93.075,75.1,40.3,43.8,0,475,0,,,,,,,,,
2013-12-03 0:00:00,93.047,78.1,38.3,39.9,0,803,0,,,,,,,,,
2013-12-04 0:00:00,93.995,89.4,38.5,42.5,0,948,0,,,,,,,,,
2013-12-05 0:00:00,96.494,94,42.6,45.8,0,757,0,,,,,,,,,
2013-12-06 0:00:00,99.288,94.2,26.5,40.6,0,387,0,,,,,,,,,
2013-12-07 0:00:00,100.259,92.5,21.5,34.5,0,270,0,,,,,,,,,
2013-12-08 0:00:00,100.258,89.1,40.7,36.8,0,155,0,,,,,,,,,
2013-12-09 0:00:00,100.315,87.2,83.2,47.7,0,185,0,,,,,,,,,
2013-12-10 0:00:00,100.223,88,77.9,40.2,0,297,0,,,,,,,,,
2013-12-11 0:00:00,99.977,89.1,55.1,37.2,0,1156,0,,,,,,,,,
2013-12-12 0:00:00,99.841,89,49.6,34.9,0,1157,0,,,,,,,,,
2013-12-13 0:00:00,99.646,88.6,48.6,37.1,0,1176,0,,,,,,,,,
2013-12-14 0:00:00,99.398,87.4,69.4,43.4,0,114,0,,,,,,,,,
2013-12-15 0:00:00,99.211,87.8,76.7,38.1,0,122,0,,,,,,,,,
2013-12-16 0:00:00,99.193,89.4,61.1,41.3,0,1165,0,,,,,,,,,
2013-12-17 0:00:00,99.162,90.6,56.4,45.2,0,1166,0,,,,,,,,,
2013-12-18 0:00:00,97.095,90.6,42.9,38.9,0,1179,0,,,,,,,,,
2013-12-19 0:00:00,98.734,90.3,49.2,42.5,0,1109,0,,,,,,,,,
2013-12-20 0:00:00,98.452,90.5,50.7,49.9,0,706,0,,,,,,,,,
2013-12-21 0:00:00,98.35,91.7,69.3,62.8,0,554,0,,,,,,,,,
2013-12-22 0:00:00,99.029,91.3,81.5,61.2,0,46,0,,,,,,,,,
2013-12-23 0:00:00,99.208,90.8,80.6,49,0,232,0,,,,,,,,,
2013-12-24 0:00:00,99.084,91,66.1,32.3,0,292,0,,,,,,,,,
2013-12-25 0:00:00,98.751,90.4,56.9,31.3,0,1167,0,,,,,,,,,
2013-12-26 0:00:00,98.748,90,57.2,36.4,0,1137,0,,,,,,,,,
2013-12-27 0:00:00,98.381,89.8,55.6,37.6,0,1175,0,,,,,,,,,
2013-12-28 0:00:00,98.306,89.7,67.4,36.9,0,554,0,,,,,,,,,
2013-12-29 0:00:00,98.317,89.1,79.5,44.9,0,334,0,,,,,,,,,
2013-12-30 0:00:00,97.992,89.2,74.2,42,0,207,0,,,,,,,,,
2013-12-31 0:00:00,97.909,89.7,61.1,36.5,0,754,0,,,,,,,,,
2014-01-01 0:00:00,97.886,89,59.6,36.4,0,709,0,,,,,,,,,
2014-01-02 0:00:00,97.843,88.3,74.5,35.6,0,199,0,,,,,,,,,
2014-01-03 0:00:00,98.406,88.6,57.1,22.8,0,1342,0,,,,,,,,,
2014-01-04 0:00:00,97.913,87.3,58.1,33.1,0,1194,0,,,,,,,,,
2014-01-05 0:00:00,97.159,86.9,72.7,49.5,0,404,0,,,,,,,,,
2014-01-06 0:00:00,92.366,88.4,66.3,24.1,0,585,0,,,,,,,,,
2014-01-07 0:00:00,96.614,88.6,49.1,12.8,0,1376,0,,,,,,,,,
2014-01-08 0:00:00,97.231,86.4,53.3,26.6,0,1217,0,,,,,,,,,
2014-01-09 0:00:00,96.68,85.6,56,39.6,0,1076,0,,,,,,,,,
2014-01-10 0:00:00,96.43,85.6,80.6,46.1,0,327,0,,,,,,,,,
2014-01-11 0:00:00,96.25,88.2,78.5,52.5,0,138,0,,,,,,,,,
2014-01-12 0:00:00,95.859,91.2,56.5,45.1,0,1237,0,,,,,,,,,
2014-01-13 0:00:00,95.593,90.3,63.9,41.9,0,325,0,,,,,,,,,
2014-01-14 0:00:00,95.363,89.1,64.6,46.5,0,557,0,,,,,,,,,
2014-01-15 0:00:00,95.322,90.2,69.6,34.8,0,317,0,,,,,,,,,
2014-01-16 0:00:00,95.196,90.1,49.7,33.3,0,1253,0,,,,,,,,,
2014-01-17 0:00:00,95.111,88.6,50.6,38,0,1253,0,,,,,,,,,
2014-01-18 0:00:00,94.968,89.1,51,29.5,0,740,0,,,,,,,,,
2014-01-19 0:00:00,94.453,88.5,49,39.2,0,462,0,,,,,,,,,
2014-01-20 0:00:00,94.061,90.7,40.9,45.6,0,1266,0,,,,,,,,,
2014-01-21 0:00:00,93.771,91.3,64.8,34.1,0,426,0,,,,,,,,,
2014-01-22 0:00:00,93.454,90.8,45.4,23.2,0,1355,0,,,,,,,,,
2014-01-23 0:00:00,93.786,89.9,42,24.3,0,881,0,,,,,,,,,
2014-01-24 0:00:00,93.443,89.7,37.3,17.5,0,1213,0,,,,,,,,,
2014-01-25 0:00:00,93.605,89,56.4,25.3,0,417,0,,,,,,,,,
2014-01-26 0:00:00,93.245,89,40.9,40.8,0,1226,0,,,,,,,,,
2014-01-27 0:00:00,92.71,89.1,52,38.6,0,462,0,,,,,,,,,
2014-01-28 0:00:00,93.211,90.3,54.6,22.1,0,389,0,,,,,,,,,
2014-01-29 0:00:00,93.352,90.1,44.1,21.7,0,1300,0,,,,,,,,,
2014-01-30 0:00:00,92.882,89.8,41.2,24.9,0,1159,0,,,,,,,,,
2014-01-31 0:00:00,92.146,89,43.4,36.1,0,1145,0,,,,,,,,,
2014-02-01 0:00:00,91.65,90.8,48,45.9,0,1133,0,,,,,,,,,
2014-02-02 0:00:00,91.271,93.3,64.1,48.2,0,700,0,,,,,,,,,
2014-02-03 0:00:00,91.615,92.4,76,49.8,0,463,0,,,,,,,,,
2014-02-04 0:00:00,91.31,92,72.9,45,0,633,0,,,,,,,,,
