date,hive_weight,hive_temperature,hive_humidity,ambient_temperature,ambient_humidity,ambient_luminosity,ambient_rain,wx_temp,wx_humidity,wx_wind,wx_gusts,wx_direction,wx_dewpoint,wx_pressure,wx_rain,battery
2014-02-19 0:00:00,0,68.8,40.6,70.7,40.4,0,50.6,,,,,,,,,
2014-02-20 0:00:00,0,64.9,52.3,67.3,51.3,0,57.7,,,,,,,,,
2014-02-21 0:00:00,0,62,32.3,64.2,31.6,0,51.8,,,,,,,,,
2014-02-22 0:00:00,0,54.9,21.7,57.4,21.1,0,48.9,,,,,,,,,
2014-02-23 0:00:00,0,59.7,30.1,62.9,28.8,0,50.5,,,,,,,,,
2014-02-24 0:00:00,0,63.9,24.4,66.5,24,0,50.4,,,,,,,,,
2014-02-25 0:00:00,0,66.5,24.6,71,22.3,0,49.3,,,,,,,,,
2014-02-26 0:00:00,0,67.1,18.5,70.7,17.5,0,39.5,,,,,,,,,
2014-02-27 0:00:00,0,53.3,13.6,57.1,12.9,0,35.3,,,,,,,,,
2014-02-28 0:00:00,0,62.6,14.7,67.2,13.3,0,36.6,,,,,,,,,
2014-03-01 0:00:00,0,67.1,20.7,71.1,19.3,0,44.3,,,,,,,,,
2014-03-02 0:00:00,0,68.2,31.4,72.3,29.3,0,56.4,,,,,,,,,
2014-03-03 0:00:00,0,67.9,39.9,71.8,37.2,0,53,,,,,,,,,
2014-03-04 0:00:00,0,60.6,27.5,64.8,25,0,32.8,,,,,,,,,
2014-03-05 0:00:00,0,54.5,30,58.9,27.6,0,41.1,,,,,,,,,
2014-03-06 0:00:00,0,49.4,31,53.5,28.9,0,35.8,,,,,,,,,
2014-03-07 0:00:00,0,55.4,45.6,59.6,42.3,0,43.5,,,,,,,,,
2014-03-08 0:00:00,0,59.8,36.2,64.7,32.5,0,49.2,,,,,,,,,
2014-03-09 0:00:00,0,66.6,26.8,68.6,25.9,0,59.5,,,,,,,,,
2014-03-10 0:00:00,0,62.3,31.9,64.6,31.5,0,55.4,,,,,,,,,
2014-03-11 0:00:00,0,67.5,32.9,70,32.2,0,61,,,,,,,,,
2014-03-12 0:00:00,0,67.5,31.1,70.9,28.9,0,53.1,,,,,,,,,
2014-03-13 0:00:00,0,43.7,21.8,48.5,19.5,0,35.6,,,,,,,,,
2014-03-14 0:00:00,0,51,23.3,55.6,21.3,0,44.1,,,,,,,,,
2014-03-15 0:00:00,0,64.3,26.5,69.5,23.7,0,56.1,,,,,,,,,
2014-03-16 0:00:00,0,56.2,48.8,61.3,43.4,0,47.8,,,,,,,,,
2014-03-17 0:00:00,0,47.8,58.8,53.1,51.7,0,38.2,,,,,,,,,
2014-03-18 0:00:00,0,46.5,59,51.9,51.3,0,38.3,,,,,,,,,
2014-03-19 0:00:00,0,52.1,57.5,57.6,50.1,0,44.9,,,,,,,,,
2014-03-20 0:00:00,0,58.8,35,64.7,30,0,52.8,,,,,,,,,
2014-03-21 0:00:00,0,57.3,23.1,62.7,20.1,0,48.2,,,,,,,,,
2014-03-22 0:00:00,0,63.8,27.5,69,24.1,0,56.3,,,,,,,,,
2014-03-23 0:00:00,0,57.1,40.9,62.4,35.8,0,49.7,,,,,,,,,
2014-03-24 0:00:00,0,51.4,29.5,57.1,25.5,0,41.8,,,,,,,,,
2014-03-25 0:00:00,0,48.2,35.2,53.9,30.4,0,38.5,,,,,,,,,
2014-03-26 0:00:00,0,46.4,18.9,52.1,16.2,0,37.2,,,,,,,,,
2014-03-27 0:00:00,0,51.9,21.2,57.5,18.4,0,42.9,,,,,,,,,
2014-03-28 0:00:00,0,57.5,46.9,62.4,41.5,0,50.1,,,,,,,,,
2014-03-29 0:00:00,0,60.1,57.9,65.2,50.9,0,52.7,,,,,,,,,
2014-03-30 0:00:00,0,55.4,30.8,60.6,26.4,0,47.3,,,,,,,,,
2014-03-31 0:00:00,0,66.8,16.9,68.9,16.7,0,57,,,,,,,,,
2014-04-01 0:00:00,0,71.4,19.2,73.5,19,0,62.5,,,,,,,,,
2014-04-02 0:00:00,0,73.9,18.7,75.9,18.4,0,63.4,,,,,,,,,
2014-04-03 0:00:00,0,77.6,31.4,79.7,30.8,0,67.1,,,,,,,,,
2014-04-04 0:00:00,0,72.3,39.6,74.5,38.8,0,60.8,,,,,,,,,
2014-04-05 0:00:00,0,68.4,28.4,70.4,28,0,56.2,,,,,,,,,
2014-04-06 0:00:00,0,64.3,26.6,66.4,26.3,0,51.8,,,,,,,,,
2014-04-07 0:00:00,0,58.3,50.4,60.7,49.8,0,47.8,,,,,,,,,
2014-04-08 0:00:00,0,62.5,40.5,64.6,39.9,0,50.3,,,,,,,,,
2014-04-09 0:00:00,0,67.5,33.4,64.4,36.5,0,51.8,,,,,,,,,
2014-04-10 0:00:00,0,76.1,25.8,72.3,30.7,0,53.8,,,,,,,,,
2014-04-11 0:00:00,0,71.3,27.5,66.3,39.7,0,58,,,,,,,,,
2014-04-12 0:00:00,0,75.5,28.4,72.3,43.8,0,62.8,,,,,,,,,
2014-04-13 0:00:00,0,77,29.3,66.9,52.6,0,64.4,,,,,,,,,
2014-04-14 0:00:00,0,69.7,32.7,61.1,80,0,59.6,,,,,,,,,
2014-04-15 0:00:00,0,61.5,39.9,50.9,81.9,0,50.2,,,,,,,,,
2014-04-16 0:00:00,0,55.8,40.1,45.8,41.5,0,43.4,,,,,,,,,
2014-04-17 0:00:00,0,61.4,39.9,52,37.2,0,48.3,,,,,,,,,
2014-04-18 0:00:00,0,60.3,39.3,51.4,58.4,0,49.8,,,,,,,,,
2014-04-19 0:00:00,0,61.5,43.9,52.3,87.5,0,51.6,,,,,,,,,
2014-04-20 0:00:00,0,70.2,46.3,60,54.7,0,57.8,,,,,,,,,
2014-04-21 0:00:00,0,72.4,44.9,63,42.7,0,54.5,,,,,,,,,
2014-04-22 0:00:00,0,69.9,43.7,61.4,63.3,0,62.3,,,,,,,,,
2014-04-23 0:00:00,0,74.8,42.8,65.3,36.7,0,64,,,,,,,,,
2014-04-24 0:00:00,0,72.8,38.2,62.9,30.8,0,59.6,,,,,,,,,
2014-04-25 0:00:00,0,75.7,36.6,66.5,47,0,63.4,,,,,,,,,
2014-04-26 0:00:00,0,76.2,35.4,66.6,40.6,0,62.9,,,,,,,,,
2014-04-27 0:00:00,0,78.9,34,69.4,46.2,0,65.1,,,,,,,,,
2014-04-28 0:00:00,0,79.1,35.5,69.9,66.3,0,67.1,,,,,,,,,
2014-04-29 0:00:00,0,76.4,42.1,67,82.1,0,66.3,,,,,,,,,
2014-04-30 0:00:00,0,71.9,45.3,63.1,87.5,0,61.5,,,,,,,,,
2014-05-01 0:00:00,0,71.3,46,61,58.8,0,59.1,,,,,,,,,
2014-05-02 0:00:00,0,70.2,43.8,60.1,41.8,0,57,,,,,,,,,
2014-05-03 0:00:00,0,72.8,41.9,63.2,41.8,0,60.5,,,,,,,,,
2014-05-04 0:00:00,0,77.6,40,68.2,42.9,0,66.3,,,,,,,,,
2014-05-05 0:00:00,0,84,38.2,74.7,37.8,0,73.3,,,,,,,,,
2014-05-06 0:00:00,0,84.8,36.6,75.3,39.4,0,71.9,,,,,,,,,
2014-05-07 0:00:00,0,81.9,35.3,72.2,45,0,68.5,,,,,,,,,
2014-05-08 0:00:00,0,82.4,34.2,72.8,47.2,0,68.4,,,,,,,,,
2014-05-09 0:00:00,0,76,35.3,67,69.3,0,63.8,,,,,,,,,
2014-05-10 0:00:00,0,72.9,41.3,63.4,92.1,0,62.1,,,,,,,,,
2014-05-11 0:00:00,0,80.1,42.5,70.4,68.2,0,67,,,,,,,,,
2014-05-12 0:00:00,0,82.6,41.5,73.6,65.9,0,70.2,,,,,,,,,
2014-05-13 0:00:00,0,83.9,41.3,74.6,63.3,0,71.2,,,,,,,,,
2014-05-14 0:00:00,0,75,40.6,66.8,70.9,0,62,,,,,,,,,
2014-06-25 0:00:00,0,82.2,51,32,0,0,68.5,,,,,,,,,
2014-06-26 0:00:00,0,84.6,46.4,32,0,0,68.9,,,,,,,,,
